IND PacersatDET PistonsTODAY 7:10PM			IND PacersatDET PistonsTODAY 7:10PM			IND PacersatDET PistonsTODAY 7:10PM			IND PacersatDET PistonsTODAY 7:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
James Wiseman	O 16.5  −130	U 16.5  +100	James Wiseman	O 9.5  +110	U 9.5  −140	Killian Hayes	O 7.5  −160	U 7.5  +130	James Wiseman	O 0.5  +310	U 0.5  −410
Killian Hayes	O 14.5  −110	U 14.5  −120	Killian Hayes	O 3.5  −115	U 3.5  −115	UTA JazzatMIA HeatTODAY 7:40PM			Killian Hayes	O 1.5  +135	U 1.5  −165
UTA JazzatMIA HeatTODAY 7:40PM			UTA JazzatMIA HeatTODAY 7:40PM			PLAYER	OVER	UNDER	UTA JazzatMIA HeatTODAY 7:40PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Bam Adebayo	O 3.5  +135	U 3.5  −165	PLAYER	OVER	UNDER
Bam Adebayo	O 20.5  −110	U 20.5  −120	Bam Adebayo	O 8.5  −130	U 8.5  +100	Jimmy Butler	O 4.5  −145	U 4.5  +115	Jimmy Butler	O 0.5  +120	U 0.5  −150
Jimmy Butler	O 24.5  −110	U 24.5  −120	Jimmy Butler	O 6.5  −130	U 6.5  +100	Kelly Olynyk	O 2.5  −120	U 2.5  −110	Kelly Olynyk	O 1.5  +170	U 1.5  −210
Kelly Olynyk	O 11.5  −105	U 11.5  −125	Kelly Olynyk	O 5.5  +105	U 5.5  −135	Talen Horton-Tucker	O 5.5  +100	U 5.5  −130	Lauri Markkanen	O 2.5  −145	U 2.5  +115
Lauri Markkanen	O 25.5  −120	U 25.5  −110	Lauri Markkanen	O 7.5  −110	U 7.5  −120	Tyler Herro	O 4.5  +110	U 4.5  −140	Talen Horton-Tucker	O 1.5  −110	U 1.5  −120
Talen Horton-Tucker	O 16.5  −110	U 16.5  −120	Talen Horton-Tucker	O 4.5  −105	U 4.5  −125	MIN TimberwolvesatATL HawksTODAY 7:40PM			Tyler Herro	O 2.5  −140	U 2.5  +110
Tyler Herro	O 20.5  −115	U 20.5  −115	Tyler Herro	O 5.5  +120	U 5.5  −150	PLAYER	OVER	UNDER	MIN TimberwolvesatATL HawksTODAY 7:40PM		
MIN TimberwolvesatATL HawksTODAY 7:40PM			MIN TimberwolvesatATL HawksTODAY 7:40PM			Anthony Edwards	O 3.5  −140	U 3.5  +110	PLAYER	OVER	UNDER
